"ID","Nombre","Espacio","Región","Etapa","Origen","Nivel requerido","Rareza","Precio base","Clase recomendada","Estadísticas","Efecto / descripción"
"axe_oak","Hacha de Roble Hendida","Arma","Región Verde","Pueblo","Loot de mobs","4","Poco común","0","Guerrero","+3 ATK · -1 mov","Pesada pieza recuperada de un enemigo del bosque."
"armor_leather","Armadura de Cuero Reforzado","Armadura","Región Verde","Pueblo","Tienda","4","Poco común","38","Guerrero","+2 Def. Física · +3 Vida","Cuero tratado por los artesanos de Robledal."
"cloak_moss","Capa de Musgo Vivo","Armadura","Región Verde","Pueblo","Loot de mobs","4","Raro","0","Todas","+1 Def. Física · +2 Def. Mágica · +5 Vida","Crece lentamente sobre quien la porta."
"vest_ranger","Coraza del Vigilante","Armadura","Región Verde","Pueblo","Tienda","4","Poco común","42","Pícaro","+2 Def. Física · +1 Def. Mágica · +3 Vida","Equipo flexible de los Vigilantes del Sendero."
"robe_herbalist","Túnica de la Herbolaria","Armadura","Región Verde","Pueblo","Tienda","4","Poco común","40","Mago","+2 Def. Mágica · +4 Energía","Tela impregnada con resinas protectoras."
"boots_explorer","Botas del Explorador Perdido","Accesorio","Región Verde","Ciudad","Loot de mobs","7","Raro","0","Todas","+1 mov","+1 Movimiento. Solo botín."
"brazal_arcano","Brazal del Mago","Accesorio","Región Verde","Ciudad","Tienda","7","Raro","80","Todas","+2 Poder Arcano","+2 Poder Arcano."
"corazon_leon","Corazón de León","Accesorio","Región Verde","Ciudad","Tienda","7","Raro","82","Todas","+5 Vida","+5 Vida máxima."
"escudo_portatil","Escudo Portátil","Accesorio","Región Verde","Ciudad","Tienda","7","Raro","78","Todas","+2 Def. Física","+2 Def. Física. Se despliega ante el peligro."
"bow_forest","Arco del Acechador Feral","Arma","Región Verde","Ciudad","Loot de mobs","7","Raro","0","Pícaro","+3 Precisión · +8% prec","Arco recuperado de un cazador corrompido."
"bow_verdant","Arco del Bosque Ancestral","Arma","Región Verde","Ciudad","Tienda","7","Raro","80","Pícaro","+3 Precisión · +5% crít","Tallado con madera del bosque ancestral."
"robe_arcane_w","Báculo del Bosque","Arma","Región Verde","Ciudad","Tienda","7","Raro","78","Mago","+2 Poder Arcano · +4 Energía","Canaliza la magia natural de la Región Verde."
"daggers_twin","Dagas Gemelas del Asesino Orco","Arma","Región Verde","Ciudad","Loot de mobs","7","Raro","0","Pícaro","+2 Precisión · +10% crít","Dos filos desequilibrados, rápidos y peligrosos."
"spear_guardian","Lanza del Guardián","Arma","Región Verde","Ciudad","Tienda","7","Raro","76","Guerrero","+3 ATK","Arma de la guardia de Verdalia."
"armor_iron","Armadura de Hierro de Verdalia","Armadura","Región Verde","Ciudad","Tienda","7","Raro","78","Guerrero","+4 Def. Física · +1 Def. Mágica · -1 mov","Resistente y pesada, fabricada en la ciudad."
"cloak_shadow","Capa Sombría de Verdalia","Armadura","Región Verde","Ciudad","Tienda","7","Raro","82","Pícaro","+1 Def. Física · +2 Def. Mágica · +6 Energía · +1 mov","Ropaje reforzado para operaciones discretas."
"robe_arcane","Túnica Arcana de Verdalia","Armadura","Región Verde","Ciudad","Tienda","7","Raro","80","Mago","+3 Def. Mágica · +8 Energía","Tejida por el círculo arcano de la ciudad."
"compass_ancient","Brújula Antigua","Accesorio","Región Verde","Ciudad","Loot de mobs","8","Épico","0","Todas","—","+10% oro"
"pendant_merchant","Colgante del Comerciante Caído","Accesorio","Región Verde","Ciudad","Loot de mobs","8","Épico","0","Todas","—","Precios -15%"
"staff_sage","Bastón del Sabio Caído","Arma","Región Verde","Ciudad","Loot de mobs","8","Épico","0","Mago","+3 Poder Arcano · +5 Energía","Reduce el coste de magia en 1"
"hammer_dwarven","Martillo Enano Perdido","Arma","Región Verde","Ciudad","Loot de mobs","8","Épico","0","Guerrero","+4 ATK","Ignora 2 de defensa"
"armor_runic","Armadura Rúnica Quebrada","Armadura","Región Verde","Ciudad","Loot de mobs","8","Épico","0","Todas","+2 Def. Física · +4 Def. Mágica","Reduce daño mágico 15%"
"armor_guardian","Coraza del Guardián Menor","Armadura","Región Verde","Ciudad","Loot de mobs","8","Épico","0","Todas","+4 Def. Física · +2 Def. Mágica · +10 Vida","Protección rara recuperada de un guardián antiguo."
"charm_verde","Amuleto de Hojas","Accesorio","Región Verde","Especial","Legado","1","Raro","0","Todas","+1 Def. Física · +3 Vida","+1 Def. Física, +3 Vida. Tejido con hojas del bosque."
"charm_fria","Amuleto de Escarcha","Accesorio","Región Ártica","Campamento","Tienda","9","Poco común","74","Todas","+1 Def. Mágica · +4 Vida","+1 Def. Mágica y +4 Vida."
"fingerbone_ring","Anillo de Falange Helada","Accesorio","Región Ártica","Campamento","Loot de mobs","9","Poco común","0","Todas","+1 Def. Mágica · +4 Vida","+4 Vida y +1 Def. Mágica."
"boots_boreal","Botas del Caminante Boreal","Accesorio","Región Ártica","Campamento","Tienda","9","Poco común","76","Todas","+1 mov","+1 a viajes en Región Ártica"
"rune_warmth","Runa de Calor Interior","Accesorio","Región Ártica","Campamento","Tienda","9","Poco común","78","Todas","+5 Vida","+5 Vida máxima."
"staff_rime","Bastón de Cencellada","Arma","Región Ártica","Campamento","Tienda","9","Poco común","92","Mago","+2 Poder Arcano · +4 Energía","Canalizador básico del Campamento Boreal."
"knives_icefang","Cuchillos Colmillo de Hielo","Arma","Región Ártica","Campamento","Tienda","9","Poco común","94","Pícaro","+2 Precisión · +6% crít","Filos cortos hechos para combatir sobre nieve."
"axe_frost","Hacha de Escarcha","Arma","Región Ártica","Campamento","Tienda","9","Poco común","90","Guerrero","+3 ATK","Hacha robusta del Campamento Boreal."
"bone_axe_frost","Hacha Ósea Congelada","Arma","Región Ártica","Campamento","Loot de mobs","9","Poco común","0","Guerrero","+3 ATK","Forjada con huesos endurecidos por el hielo."
"vest_white_trail","Chaleco del Rastro Blanco","Armadura","Región Ártica","Campamento","Tienda","9","Poco común","96","Pícaro","+2 Def. Física · +2 Def. Mágica · +1 mov","Oculta el movimiento sobre nieve abierta."
"mail_frozen_dead","Malla del Muerto Congelado","Armadura","Región Ártica","Campamento","Loot de mobs","9","Poco común","0","Todas","+3 Def. Física · +1 Def. Mágica · +5 Vida","Malla recuperada de un guerrero esquelético."
"armor_pelt","Piel del Norte","Armadura","Región Ártica","Campamento","Tienda","9","Poco común","92","Guerrero","+3 Def. Física · +6 Vida","Protección gruesa del Campamento Boreal."
"robe_aurora","Túnica de Aurora","Armadura","Región Ártica","Campamento","Tienda","9","Poco común","94","Mago","+3 Def. Mágica · +6 Energía","Vestimenta inicial de los estudiosos boreales."
"hood_frost_scholar","Capucha del Erudito de Escarcha","Casco","Región Ártica","Campamento","Tienda","9","Poco común","74","Mago","+2 Def. Mágica · +3 Energía","Protege la concentración del frío exterior."
"skull_icebound","Cráneo Encadenado al Hielo","Casco","Región Ártica","Campamento","Loot de mobs","9","Poco común","0","Todas","+2 Def. Física · +3 Vida","Casco improvisado de origen no muerto."
"mask_white_hunter","Máscara del Cazador Blanco","Casco","Región Ártica","Campamento","Tienda","9","Poco común","76","Pícaro","+1 Def. Física · +3% crít","Reduce reflejos visibles sobre la nieve."
"helm_boreal_guard","Yelmo del Guardia Boreal","Casco","Región Ártica","Campamento","Tienda","9","Poco común","72","Guerrero","+1 Def. Física · +1 Def. Mágica · +3 Vida","Primer casco disponible tras liberar Región Verde."
"ring_glacial_pulse","Anillo del Pulso Glacial","Accesorio","Región Ártica","Pueblo","Tienda","12","Raro","116","Todas","+6 Energía","+6 Energía máxima."
"clasp_aurora","Broche de Aurora","Accesorio","Región Ártica","Pueblo","Tienda","12","Raro","124","Todas","+1 ATK · +1 Poder Arcano · +1 Precisión · +3 Energía","+1 a la estadística ofensiva de tu clase y +3 Energía."
"pendant_silent_winter","Colgante del Invierno Silente","Accesorio","Región Ártica","Pueblo","Tienda","12","Raro","120","Todas","+2 Def. Mágica","+10% resistencia a estados"
"phylactery_chip","Esquirla de Filacteria","Accesorio","Región Ártica","Pueblo","Loot de mobs","12","Raro","0","Todas","+7 Energía","+7 Energía máxima."
"staff_glacial_sigil","Bastón del Sello Glacial","Arma","Región Ártica","Pueblo","Tienda","12","Raro","142","Mago","+3 Poder Arcano · +6 Energía","Amplifica conjuros y estabiliza la energía del portador."
"daggers_rime","Dagas de Escarcha Silente","Arma","Región Ártica","Pueblo","Tienda","12","Raro","146","Pícaro","+3 Precisión · +8% crít","No reflejan luz sobre la nieve."
"sword_blizzard","Espada de Ventisca","Arma","Región Ártica","Pueblo","Tienda","12","Raro","138","Guerrero","+4 ATK","Hoja templada en los vientos del Pueblo Glacial."
"wand_necrotic_rime","Vara de Escarcha Necrótica","Arma","Región Ártica","Pueblo","Loot de mobs","12","Raro","0","Mago","+3 Poder Arcano · +7 Energía","Botín de un necromante de la tundra."
"armor_icebound","Armadura Vinculada al Hielo","Armadura","Región Ártica","Pueblo","Tienda","12","Raro","145","Guerrero","+4 Def. Física · +2 Def. Mágica · +7 Vida","Placas unidas con resina glacial."
"cloak_blizzard","Capa de Ventisca","Armadura","Región Ártica","Pueblo","Tienda","12","Raro","152","Pícaro","+2 Def. Física · +3 Def. Mágica · +1 mov","La tela dispersa la silueta en movimiento."
"robe_necromancer_frost","Ropaje del Necromante de Escarcha","Armadura","Región Ártica","Pueblo","Loot de mobs","12","Raro","0","Todas","+5 Def. Mágica · +8 Energía","Conserva una energía incómodamente fría."
"robe_runic_snow","Túnica de Nieve Rúnica","Armadura","Región Ártica","Pueblo","Tienda","12","Raro","148","Mago","+4 Def. Mágica · +8 Energía","Las runas mantienen estable el flujo mágico."
"hood_snow_stalker","Capucha del Acechador de Nieve","Casco","Región Ártica","Pueblo","Tienda","12","Raro","118","Pícaro","+1 Def. Física · +1 Def. Mágica · +5% crít","Diseñada para rastrear sin ser rastreado."
"hood_dead_seer","Capucha del Vidente Muerto","Casco","Región Ártica","Pueblo","Loot de mobs","12","Raro","0","Todas","+3 Def. Mágica · +6 Energía","El tejido murmura cuando hay magia cerca."
"crown_aurora","Corona de Aurora","Casco","Región Ártica","Pueblo","Tienda","12","Raro","116","Mago","+3 Def. Mágica · +5 Energía","Concentra luz boreal alrededor de la mente."
"helm_icewatch","Yelmo de la Guardia Glacial","Casco","Región Ártica","Pueblo","Tienda","12","Raro","112","Guerrero","+2 Def. Física · +1 Def. Mágica · +4 Vida","Utilizado por la defensa del Pueblo Glacial."
"amulet_frozen_heart","Amuleto del Corazón Congelado","Accesorio","Región Ártica","Ciudad","Tienda","15","Épico","178","Todas","+6 Vida","Anula la primera Parálisis"
"ring_eternal_ice","Anillo de Hielo Eterno","Accesorio","Región Ártica","Ciudad","Tienda","15","Épico","182","Todas","+1 ATK · +1 Poder Arcano · +1 Precisión · +5% crít","+1 ofensiva de clase y +5% crítico."
"emblem_boreal","Emblema Boreal","Accesorio","Región Ártica","Ciudad","Tienda","15","Épico","186","Todas","+2 Def. Física · +2 Def. Mágica · +4 Vida","+2 Def. Física, +2 Def. Mágica y +4 Vida."
"rune_dead_winter","Runa del Invierno Muerto","Accesorio","Región Ártica","Ciudad","Loot de mobs","15","Épico","0","Todas","+2 Def. Mágica · +6% crít","+2 Def. Mágica y +6% crítico."
"staff_crystal_heart","Báculo del Corazón de Cristal","Arma","Región Ártica","Ciudad","Tienda","15","Épico","218","Mago","+4 Poder Arcano · +9 Energía","+10% resistencia mágica"
"daggers_grave_ice","Dagas del Sepulcro Helado","Arma","Región Ártica","Ciudad","Loot de mobs","15","Épico","0","Pícaro","+5 Precisión · +12% crít","Armas exclusivas de los asesinos esqueléticos."
"twin_blades_zero","Hojas Gemelas del Cero","Arma","Región Ártica","Ciudad","Tienda","15","Épico","222","Pícaro","+4 Precisión · +12% crít","Filos que parecen inmóviles incluso al atacar."
"spear_glacier","Lanza del Glaciar","Arma","Región Ártica","Ciudad","Tienda","15","Épico","214","Guerrero","+5 ATK · +5% crít","Tallada con cristal del glaciar eterno."
"armor_frost","Coraza de Escarcha","Armadura","Región Ártica","Ciudad","Tienda","15","Épico","220","Guerrero","+5 Def. Física · +2 Def. Mágica · +8 Vida","Escarcha endurecida sobre una estructura metálica."
"mantle_white_shadow","Manto de la Sombra Blanca","Armadura","Región Ártica","Ciudad","Tienda","15","Épico","228","Pícaro","+3 Def. Física · +4 Def. Mágica · +3% crít · +1 mov","Desvía la vista justo antes del golpe."
"shroud_skeleton_assassin","Sudario del Asesino Esquelético","Armadura","Región Ártica","Ciudad","Loot de mobs","15","Épico","0","Todas","+3 Def. Física · +4 Def. Mágica · +4% crít · +2 mov","Botín exclusivo de enemigos avanzados."
"robe_crystal_council","Vestidura del Consejo de Cristal","Armadura","Región Ártica","Ciudad","Tienda","15","Épico","224","Mago","+5 Def. Mágica · +11 Energía","Reservada para los magos de la Ciudadela Helada."
"diadem_ice_core","Diadema del Núcleo de Hielo","Casco","Región Ártica","Ciudad","Tienda","15","Épico","176","Mago","+4 Def. Mágica · +7 Energía","Mantiene un fragmento glacial en suspensión."
"mask_frozen_moon","Máscara de la Luna Congelada","Casco","Región Ártica","Ciudad","Tienda","15","Épico","180","Pícaro","+2 Def. Física · +2 Def. Mágica · +7% crít","La superficie no revela expresión alguna."
"mask_bone_hunter","Máscara del Cazador Óseo","Casco","Región Ártica","Ciudad","Loot de mobs","15","Épico","0","Todas","+2 Def. Física · +2 Def. Mágica · +8% crít","Solo cae de élites y enemigos avanzados."
"helm_aurel_guard","Yelmo del Último Portador","Casco","Región Ártica","Ciudad","Tienda","15","Épico","172","Guerrero","+3 Def. Física · +2 Def. Mágica · +6 Vida","Réplica de la armadura ceremonial de Aurel."
"charm_desierto","Amuleto de Dunas","Accesorio","Región Árida","Campamento","Tienda","17","Raro","210","Todas","+2 Def. Física · +2 Def. Mágica","+2 Def. Física y +2 Def. Mágica."
"scarab_cracked","Escarabajo Agrietado","Accesorio","Región Árida","Campamento","Loot de mobs","17","Raro","0","Todas","+1 Def. Física · +6 Vida","+6 Vida y +1 Def. Física."
"seal_oasis","Sello del Oasis","Accesorio","Región Árida","Campamento","Tienda","17","Raro","220","Todas","+7 Energía","+7 Energía máxima."
"anklet_dune","Tobillera de las Dunas","Accesorio","Región Árida","Campamento","Tienda","17","Raro","215","Todas","+4 Vida · +1 mov","+1 Movimiento y +4 Vida."
"staff_dune","Bastón de las Dunas","Arma","Región Árida","Campamento","Tienda","17","Raro","255","Mago","+4 Poder Arcano · +9 Energía","Tallado para canalizar magia bajo calor extremo."
"scimitar_sand","Cimitarra del Desierto","Arma","Región Árida","Campamento","Tienda","17","Raro","250","Guerrero","+5 ATK","Cimitarra curva de los nómadas de las dunas."
"blades_sirocco","Hojas del Siroco","Arma","Región Árida","Campamento","Tienda","17","Raro","260","Pícaro","+4 Precisión · +9% crít","Armas ligeras del Campamento Nómada."
"khopesh_ruined","Khopesh de Ruina","Arma","Región Árida","Campamento","Loot de mobs","17","Raro","0","Guerrero","+5 ATK","Hoja desenterrada entre ruinas abrasadas."
"vest_dune_runner","Chaleco del Corredor de Dunas","Armadura","Región Árida","Campamento","Tienda","17","Raro","262","Pícaro","+4 Def. Física · +2 Def. Mágica · +1 mov","No atrapa arena durante movimientos rápidos."
"armor_sunhide","Coraza de Cuero Solar","Armadura","Región Árida","Campamento","Tienda","17","Raro","255","Guerrero","+6 Def. Física · +9 Vida","Cuero endurecido por calor y aceites minerales."
"mail_sand_worn","Malla Desgastada por Arena","Armadura","Región Árida","Campamento","Loot de mobs","17","Raro","0","Todas","+6 Def. Física · +8 Vida","Miles de impactos de arena pulieron sus placas."
"armor_silk","Seda del Oasis","Armadura","Región Árida","Campamento","Tienda","17","Raro","258","Mago","+5 Def. Mágica · +9 Energía","Seda ligera preparada para disipar calor mágico."
"veil_oasis_sage","Velo del Sabio del Oasis","Casco","Región Árida","Campamento","Tienda","17","Raro","210","Mago","+4 Def. Mágica · +6 Energía","Conserva humedad y claridad mental."
"goggles_sand_scout","Visor del Explorador de Arena","Casco","Región Árida","Campamento","Tienda","17","Raro","215","Pícaro","+2 Def. Física · +5% crít · +1 mov","Mantiene visión estable durante tormentas."
"helm_dune_guard","Yelmo del Guardia de Dunas","Casco","Región Árida","Campamento","Tienda","17","Raro","205","Guerrero","+3 Def. Física · +1 Def. Mágica · +5 Vida","Protege de arena y golpes frontales."
"helm_broken_sun","Yelmo del Sol Quebrado","Casco","Región Árida","Campamento","Loot de mobs","17","Raro","0","Todas","+4 Def. Física · +6 Vida","Una insignia antigua permanece partida en dos."
"ring_sunstone","Anillo de Piedra Solar","Accesorio","Región Árida","Pueblo","Tienda","20","Épico","315","Todas","+2 ATK · +2 Poder Arcano · +2 Precisión","+2 a la estadística ofensiva de tu clase."
"pendant_sirocco","Colgante del Siroco","Accesorio","Región Árida","Pueblo","Tienda","20","Épico","322","Todas","+6% crít · +1 mov","+1 Movimiento y +6% crítico."
"scarab_luck","Escarabajo de la Fortuna","Accesorio","Región Árida","Pueblo","Tienda","20","Épico","328","Todas","—","+15% oro"
"eye_sandstorm","Ojo de la Tormenta de Arena","Accesorio","Región Árida","Pueblo","Loot de mobs","20","Épico","0","Todas","+7% crít · +1 mov","+7% crítico y +1 Movimiento."
"staff_sunstone","Bastón de Piedra Solar","Arma","Región Árida","Pueblo","Tienda","20","Épico","375","Mago","+5 Poder Arcano · +10 Energía","Acumula calor arcano sin consumir la madera."
"staff_buried_oracle","Bastón del Oráculo Sepultado","Arma","Región Árida","Pueblo","Loot de mobs","20","Épico","0","Mago","+5 Poder Arcano · +11 Energía","Conserva ecos de una civilización enterrada."
"chakrams_dune","Chakrams de las Dunas","Arma","Región Árida","Pueblo","Tienda","20","Épico","385","Pícaro","+5 Precisión · +11% crít","Discos de combate adaptados al viento del oasis."
"saber_mirage","Sable del Espejismo","Arma","Región Árida","Pueblo","Tienda","20","Épico","365","Guerrero","+6 ATK","Su brillo distorsiona la distancia del golpe."
"armor_scarab","Armadura del Escarabajo","Armadura","Región Árida","Pueblo","Tienda","20","Épico","372","Guerrero","+7 Def. Física · +2 Def. Mágica · +10 Vida","Placas superpuestas inspiradas en caparazones del oasis."
"mantle_sirocco","Manto del Siroco","Armadura","Región Árida","Pueblo","Tienda","20","Épico","392","Pícaro","+4 Def. Física · +4 Def. Mágica · +3% crít · +1 mov","Acompaña el movimiento sin ofrecer resistencia."
"robe_buried_priest","Ropaje del Sacerdote Sepultado","Armadura","Región Árida","Pueblo","Loot de mobs","20","Épico","0","Todas","+7 Def. Mágica · +13 Energía","Una vestidura ritual hallada bajo las dunas."
"robe_mirage","Túnica del Espejismo","Armadura","Región Árida","Pueblo","Tienda","20","Épico","382","Mago","+6 Def. Mágica · +12 Energía","Desvía calor y energía a través de capas ilusorias."
"hood_sirocco","Capucha del Siroco","Casco","Región Árida","Pueblo","Tienda","20","Épico","318","Pícaro","+2 Def. Física · +2 Def. Mágica · +7% crít · +1 mov","Permanece inmóvil incluso bajo viento violento."
"circlet_mirage","Círculo del Espejismo","Casco","Región Árida","Pueblo","Tienda","20","Épico","312","Mago","+5 Def. Mágica · +8 Energía","Multiplica las señales arcanas alrededor del portador."
"veil_dust_prophet","Velo del Profeta de Polvo","Casco","Región Árida","Pueblo","Loot de mobs","20","Épico","0","Todas","+5 Def. Mágica · +9 Energía","Hallado en guardianes rituales de las ruinas."
"helm_scarab","Yelmo del Escarabajo Dorado","Casco","Región Árida","Pueblo","Tienda","20","Épico","305","Guerrero","+4 Def. Física · +2 Def. Mágica · +7 Vida","Caparazón metálico de gran resistencia."
"heart_eternal_noon","Corazón del Mediodía Eterno","Accesorio","Región Árida","Ciudad","Tienda","23","Épico","468","Todas","+2 Def. Mágica · +10 Vida","+10 Vida y +2 Def. Mágica."
"eclipse_token","Ficha del Eclipse","Accesorio","Región Árida","Ciudad","Tienda","23","Épico","478","Todas","+2 ATK · +2 Poder Arcano · +2 Precisión · +8% crít","+2 ofensiva de clase y +8% crítico."
"atlas_sandglass","Reloj de Arena de Atlas","Accesorio","Región Árida","Ciudad","Tienda","23","Épico","488","Todas","+8 Energía","Precios -10%"
"seal_fallen_sun","Sello del Sol Caído","Accesorio","Región Árida","Ciudad","Loot de mobs","23","Épico","0","Todas","+2 ATK · +2 Poder Arcano · +2 Precisión · +2 Def. Mágica","+2 ofensiva de clase, +2 Def. Mágica."
"staff_eternal_noon","Báculo del Mediodía Eterno","Arma","Región Árida","Ciudad","Tienda","23","Épico","560","Mago","+6 Poder Arcano · +13 Energía","Reduce el coste de magia en 1"
"daggers_eclipse","Dagas del Eclipse","Arma","Región Árida","Ciudad","Tienda","23","Épico","575","Pícaro","+6 Precisión · +14% crít","Una hoja absorbe luz; la otra la devuelve."
"blades_scorched_revenant","Filos del Retornado Calcinado","Arma","Región Árida","Ciudad","Loot de mobs","23","Épico","0","Pícaro","+6 Precisión · +15% crít","Solo aparecen en enemigos avanzados de las ruinas."
"blade_solar_crown","Hoja de la Corona Solar","Arma","Región Árida","Ciudad","Tienda","23","Épico","545","Guerrero","+7 ATK","Ignora 1 de defensa"
"armor_bronze","Bronce del Sol Eterno","Armadura","Región Árida","Ciudad","Tienda","23","Épico","565","Guerrero","+8 Def. Física · +3 Def. Mágica · +12 Vida · -1 mov","Armadura ceremonial convertida en una fortaleza móvil."
"cloak_eclipse","Capa del Eclipse","Armadura","Región Árida","Ciudad","Tienda","23","Épico","585","Pícaro","+5 Def. Física · +5 Def. Mágica · +4% crít · +2 mov","Alterna entre brillo abrasador y sombra absoluta."
"shroud_ashen_raider","Sudario del Saqueador de Ceniza","Armadura","Región Árida","Ciudad","Loot de mobs","23","Épico","0","Todas","+5 Def. Física · +5 Def. Mágica · +5% crít · +2 mov","Nunca se ofrece en comercios."
"robe_solar_oracle","Vestidura del Oráculo Solar","Armadura","Región Árida","Ciudad","Tienda","23","Épico","575","Mago","+8 Def. Mágica · +15 Energía","+10% resistencia mágica"
"crown_eternal_noon","Corona del Mediodía Eterno","Casco","Región Árida","Ciudad","Tienda","23","Épico","465","Mago","+6 Def. Mágica · +10 Energía","Convierte luz y calor en energía estable."
"mask_ashen_jackal","Máscara del Chacal de Ceniza","Casco","Región Árida","Ciudad","Loot de mobs","23","Épico","0","Todas","+3 Def. Física · +3 Def. Mágica · +10% crít","Botín exclusivo de los depredadores finales."
"mask_eclipse","Máscara del Eclipse","Casco","Región Árida","Ciudad","Tienda","23","Épico","475","Pícaro","+3 Def. Física · +3 Def. Mágica · +9% crít · +1 mov","Oculta al portador entre luz extrema y sombra."
"helm_solar_bastion","Yelmo del Bastión Solar","Casco","Región Árida","Ciudad","Tienda","23","Épico","455","Guerrero","+5 Def. Física · +3 Def. Mágica · +9 Vida","La cúspide defensiva de la Región Árida."
"starter_armor_cuero","Cuero de Recluta","Armadura","Global","Inicial","Inicial","1","Común","0","Todas","+1 Def. Física","Cuero curtido básico de recluta."
"starter_ropaje_ligero","Ropaje Ligero","Armadura","Global","Inicial","Inicial","1","Común","0","Todas","+1 Def. Física · +1 Def. Mágica","Ropaje ligero para moverse sin ruido."
"starter_tunica_aprendiz","Túnica de Aprendiz","Armadura","Global","Inicial","Inicial","1","Común","0","Todas","+1 Def. Mágica","Túnica sencilla del aprendiz."
"ballesta_picaro","Ballesta Ligera","Arma de clase","Global","Forja","Forja","1","Épico","90","Según clase","+2 Precisión · +10% crít","Disparo Preciso: Disparo de daño base que debilita la ofensiva enemiga."
"baston_mago","Bastón","Arma de clase","Global","Forja","Forja","1","Poco común","18","Según clase","+1 Poder Arcano · +2 Energía","Rayo Arcano: Daño base y reducción temporal del poder ofensivo enemigo."
"starter_baston_aprendiz","Bastón de Aprendiz","Arma de clase","Global","Forja","Forja","1","Común","5","Según clase","+1 Poder Arcano · +1 Energía","Chispa Arcana: Daño equivalente al básico y debilitamiento breve."
"starter_dagas_bronce","Dagas de Bronce","Arma de clase","Global","Forja","Forja","1","Común","5","Según clase","+1 Precisión · +5% crít","Estocada Veloz: Daño equivalente al básico y una carga de sangrado."
"dagas_picaro","Dagas Gemelas","Arma de clase","Global","Forja","Forja","1","Poco común","18","Según clase","+1 Precisión · +5% crít","Danza de Cuchillas: Ataque rápido que aplica sangrado según la calidad."
"espada_guerrero","Espada","Arma de clase","Global","Forja","Forja","1","Poco común","18","Según clase","+2 ATK","Torbellino: Daño similar al ataque básico y deja al enemigo vulnerable."
"starter_espada_recluta","Espada de Recluta","Arma de clase","Global","Forja","Forja","1","Común","5","Según clase","+1 ATK","Golpe Firme: Daño equivalente al básico y una vulnerabilidad breve."
